Date,"Total
vattenföring
[m³/s]","Total
stationskorrigerad
vattenföring
[m³/s]","Total
naturlig
vattenföring
[m³/s]","Lokal
vattenföring
[m³/s]","Vattendragstemperatur
[°C]",7-day Avg Total Vattenföring,30-day Avg Total Vattenföring,7-day Avg Lokal Vattenföring,30-day Avg Lokal Vattenföring,MD-MVM Id
2016-09-16,0.358,0.358,0.358,0.268,8.4,0.367,0.3855,0.2935714285714286,0.34146666666666664,123
2016-09-17,0.354,0.354,0.354,0.255,8.1,0.36428571428571427,0.3842666666666667,0.28828571428571426,0.3382666666666667,123
2016-09-18,0.35,0.35,0.35,0.242,8.3,0.36114285714285715,0.3829333333333333,0.2782857142857143,0.33463333333333334,123
2016-09-19,0.345,0.345,0.345,0.227,8.7,0.3574285714285715,0.3814333333333334,0.2661428571428571,0.33030000000000004,123
2016-09-20,0.34,0.34,0.34,0.215,9.0,0.35342857142857137,0.3798,0.254,0.3259666666666667,123
2016-09-21,0.335,0.335,0.335,0.204,9.1,0.34914285714285714,0.3779333333333333,0.24157142857142858,0.31960000000000005,123
2016-09-22,0.329,0.329,0.329,0.192,9.0,0.3444285714285714,0.37576666666666664,0.229,0.3127666666666667,123
2016-09-23,0.324,0.324,0.324,0.181,8.6,0.3395714285714285,0.37343333333333334,0.21657142857142858,0.30566666666666664,123
2016-09-24,0.318,0.318,0.318,0.172,8.0,0.3344285714285714,0.3709,0.20471428571428568,0.2985,123
2016-09-25,0.313,0.313,0.313,0.163,7.9,0.3291428571428572,0.36813333333333337,0.19342857142857142,0.29053333333333337,123
2016-09-26,0.307,0.307,0.307,0.154,7.9,0.32371428571428573,0.36510000000000004,0.18300000000000002,0.28200000000000003,123
2016-09-27,0.301,0.301,0.301,0.145,7.8,0.31814285714285717,0.36183333333333334,0.173,0.2734666666666667,123
2016-09-28,0.297,0.297,0.297,0.169,7.9,0.3127142857142857,0.35846666666666666,0.16799999999999998,0.26626666666666665,123
2016-09-29,0.298,0.298,0.298,0.231,7.6,0.3082857142857143,0.35516666666666663,0.17357142857142854,0.2616,123
2016-09-30,0.299,0.299,0.299,0.252,7.3,0.3047142857142857,0.35189999999999994,0.18371428571428572,0.2577333333333333,123
2016-10-01,0.297,0.297,0.297,0.252,7.1,0.3017142857142857,0.3486,0.19514285714285715,0.2542333333333333,123
2016-10-02,0.296,0.296,0.296,0.247,6.5,0.29928571428571427,0.3453333333333333,0.20714285714285713,0.25093333333333334,123
2016-10-03,0.294,0.294,0.294,0.241,5.4,0.29742857142857143,0.3420666666666667,0.21957142857142856,0.24783333333333332,123
2016-10-04,0.292,0.292,0.292,0.234,4.2,0.29614285714285715,0.3388,0.2322857142857143,0.24476666666666666,123
2016-10-05,0.29,0.29,0.29,0.227,3.9,0.2951428571428571,0.3355666666666667,0.24057142857142857,0.24186666666666667,123
2016-10-06,0.287,0.287,0.287,0.217,4.2,0.29357142857142854,0.3323333333333333,0.23857142857142857,0.23876666666666665,123
2016-10-07,0.285,0.285,0.285,0.208,4.1,0.29157142857142854,0.3291,0.2322857142857143,0.23559999999999998,123
2016-10-08,0.282,0.282,0.282,0.2,3.7,0.2894285714285714,0.32589999999999997,0.22485714285714287,0.23263333333333333,123
2016-10-09,0.279,0.279,0.279,0.192,3.4,0.287,0.3227,0.21700000000000003,0.22916666666666666,123
2016-10-10,0.276,0.276,0.276,0.184,2.6,0.2844285714285714,0.3194666666666667,0.20885714285714285,0.22556666666666667,123
2016-10-11,0.272,0.272,0.272,0.177,1.8,0.28157142857142853,0.3161333333333333,0.20071428571428568,0.22106666666666666,123
2016-10-12,0.269,0.269,0.269,0.17,1.7,0.2785714285714286,0.3127333333333333,0.1925714285714286,0.21633333333333335,123
2016-10-13,0.266,0.266,0.266,0.163,1.4,0.2755714285714286,0.3093333333333333,0.18485714285714286,0.21176666666666666,123
2016-10-14,0.262,0.262,0.262,0.156,1.0,0.2722857142857143,0.3059,0.17742857142857144,0.20726666666666665,123
2016-10-15,0.259,0.259,0.259,0.15,0.4,0.269,0.30246666666666666,0.17028571428571432,0.20293333333333333,123
2016-10-16,0.255,0.255,0.255,0.144,0.0,0.2655714285714286,0.2990333333333333,0.16342857142857142,0.1988,123
2016-10-17,0.251,0.251,0.251,0.138,0.0,0.262,0.29560000000000003,0.15685714285714283,0.19490000000000002,123
2016-10-18,0.248,0.248,0.248,0.133,0.0,0.25857142857142856,0.2922,0.15057142857142858,0.19126666666666667,123
2016-10-19,0.244,0.244,0.244,0.127,0.0,0.255,0.28883333333333333,0.1444285714285714,0.18793333333333334,123
2016-10-20,0.24,0.24,0.24,0.122,0.0,0.2512857142857143,0.2855,0.13857142857142857,0.18483333333333332,123
2016-10-21,0.236,0.236,0.236,0.118,0.0,0.24757142857142855,0.28220000000000006,0.13314285714285715,0.1819666666666667,123
2016-10-22,0.233,0.233,0.233,0.114,0.0,0.24385714285714286,0.27899999999999997,0.128,0.17936666666666667,123
2016-10-23,0.229,0.229,0.229,0.11,0.0,0.24014285714285716,0.2758333333333333,0.12314285714285714,0.17700000000000002,123
2016-10-24,0.225,0.225,0.225,0.105,0.0,0.23642857142857143,0.2727333333333333,0.11842857142857142,0.17476666666666668,123
2016-10-25,0.222,0.222,0.222,0.102,0.0,0.2327142857142857,0.2697,0.11399999999999999,0.17273333333333335,123
2016-10-26,0.218,0.218,0.218,0.098,0.0,0.229,0.2667333333333334,0.10985714285714285,0.17086666666666667,123
2016-10-27,0.215,0.215,0.215,0.095,0.0,0.22542857142857145,0.2638666666666667,0.106,0.1692,123
2016-10-28,0.211,0.211,0.211,0.091,0.0,0.2218571428571429,0.261,0.10214285714285713,0.1666,123
2016-10-29,0.208,0.208,0.208,0.088,0.0,0.21828571428571428,0.258,0.09842857142857142,0.16183333333333336,123
2016-10-30,0.204,0.204,0.204,0.085,0.0,0.2147142857142857,0.2548333333333333,0.09485714285714286,0.15626666666666666,123
2016-10-31,0.201,0.201,0.201,0.081,0.0,0.2112857142857143,0.2516333333333333,0.09142857142857143,0.15056666666666665,123
2016-11-01,0.197,0.197,0.197,0.078,0.0,0.2077142857142857,0.24833333333333335,0.088,0.14493333333333333,123
2016-11-02,0.194,0.194,0.194,0.075,0.0,0.20428571428571432,0.24500000000000002,0.08471428571428573,0.13940000000000002,123
2016-11-03,0.191,0.191,0.191,0.073,0.0,0.20085714285714285,0.2416333333333333,0.08157142857142856,0.13403333333333334,123
2016-11-04,0.188,0.188,0.188,0.071,0.0,0.19757142857142856,0.23823333333333332,0.07871428571428571,0.12883333333333333,123
2016-11-05,0.184,0.184,0.184,0.068,0.0,0.19414285714285714,0.23479999999999998,0.07585714285714286,0.12386666666666665,123
2016-11-06,0.181,0.181,0.181,0.066,0.0,0.19085714285714286,0.23133333333333334,0.07314285714285715,0.11913333333333334,123
2016-11-07,0.178,0.178,0.178,0.064,0.0,0.18757142857142856,0.2278666666666667,0.07071428571428572,0.1146,123
2016-11-08,0.175,0.175,0.175,0.062,0.0,0.18442857142857144,0.22440000000000002,0.06842857142857142,0.11026666666666667,123
2016-11-09,0.172,0.172,0.172,0.061,0.0,0.18128571428571427,0.22093333333333334,0.06642857142857143,0.10616666666666667,123
2016-11-10,0.169,0.169,0.169,0.059,0.0,0.17814285714285716,0.2175,0.06442857142857143,0.10223333333333334,123
2016-11-11,0.166,0.166,0.166,0.057,0.0,0.175,0.21406666666666668,0.06242857142857143,0.09846666666666667,123
2016-11-12,0.163,0.163,0.163,0.056,0.0,0.172,0.21063333333333334,0.060714285714285714,0.0949,123
2016-11-13,0.16,0.16,0.16,0.054,0.0,0.16899999999999998,0.20723333333333332,0.059,0.0915,123
2016-11-14,0.158,0.158,0.158,0.053,0.0,0.16614285714285715,0.2038666666666667,0.05742857142857143,0.08826666666666666,123
2016-11-15,0.156,0.156,0.156,0.052,0.0,0.16342857142857145,0.20056666666666664,0.056,0.0852,123
2016-11-16,0.154,0.154,0.154,0.051,0.0,0.16085714285714284,0.19733333333333333,0.05457142857142857,0.08230000000000001,123
2016-11-17,0.153,0.153,0.153,0.051,0.0,0.15857142857142856,0.19416666666666668,0.05342857142857143,0.07956666666666666,123
2016-11-18,0.153,0.153,0.153,0.05,0.0,0.15671428571428572,0.19113333333333332,0.05242857142857143,0.077,123
2016-11-19,0.151,0.151,0.151,0.049,0.0,0.155,0.18816666666666665,0.05142857142857143,0.07456666666666667,123
2016-11-20,0.149,0.149,0.149,0.049,0.0,0.15342857142857141,0.18526666666666666,0.05071428571428572,0.07226666666666667,123
2016-11-21,0.147,0.147,0.147,0.048,0.0,0.15185714285714286,0.18239999999999998,0.05,0.07006666666666667,123
2016-11-22,0.146,0.146,0.146,0.047,0.0,0.1504285714285714,0.17963333333333334,0.04928571428571428,0.06796666666666668,123
2016-11-23,0.145,0.145,0.145,0.047,0.0,0.14914285714285716,0.17696666666666666,0.04871428571428571,0.06603333333333333,123
2016-11-24,0.143,0.143,0.143,0.046,0.0,0.1477142857142857,0.17433333333333334,0.048,0.06416666666666666,123
2016-11-25,0.141,0.141,0.141,0.045,0.0,0.14599999999999996,0.17176666666666668,0.047285714285714285,0.062400000000000004,123
2016-11-26,0.14,0.14,0.14,0.045,0.0,0.1444285714285714,0.16926666666666665,0.046714285714285715,0.060733333333333334,123
2016-11-27,0.138,0.138,0.138,0.044,0.0,0.14285714285714285,0.16683333333333333,0.04599999999999999,0.059166666666666666,123
2016-11-28,0.136,0.136,0.136,0.043,0.0,0.1412857142857143,0.16443333333333332,0.04528571428571428,0.057666666666666665,123
