MD-MVM Id,Survey station,Latitude,Longitude,County,Municipality,MS_CD C3,Sample date,Sample year,Sample month,Sample day,SeasonType,Season,Max sample depth (m),TOC (mg/l C),DOC (mg/l C),Abs_F 254 (/5cm),Turb_FNU (FNU),C_phyll (µg/l),pH,Cond_25 (mS/m),Alk/Acid (mekv/l),Ca (mekv/l),Mg (mekv/l),Na (mekv/l),K (mekv/l),SO4 (mekv/l),Cl (mekv/l),F (mekv/l),NH4-N (µg/l N),NO2+NO3-N (µg/l N),PO4-P (µg/l P),Tot-P (µg/l P),Si (mg/l),Fe (µg/l),Al (µg/l),Al_s (µg/l),Oxygen (mg/l O2),Secchi depth (m),Secchi depth binoculars (m),Secchi depth no binoculars (m),Water temp (°C),Tot-N (µg/l N),Abs_F 420 (/m),SUVA_254 (/m),TOC:TON (mol/l),TOC:TOP (mol/l)
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2004-10-05,2004,10,5,1,4,0.5,3.4,,,,1.5,6.58,2.91,0.101,0.136,0.058,0.072,0.012,0.1,0.027,0.0084,10.0,6.0,2.0,4.0,0.87,29.0,,,,7.7,,,11.0,283.0,0.52,,29.706851116813333,17533.594205311794
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2005-02-21,2005,2,21,1,1,0.5,5.0,,,,1.9,6.53,3.56,0.11,0.155,0.069,0.102,0.018,0.117,0.044,0.0089,44.0,46.0,2.0,5.0,1.72,35.0,,,,6.6,,,1.2,294.0,0.56,,57.17797900943743,17189.79824050176
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2005-04-20,2005,4,20,1,2,0.5,3.4,,,,1.2,6.35,2.86,0.098,0.135,0.057,0.067,0.01,0.096,0.029,0.0084,12.0,16.0,3.0,5.0,0.8,31.0,,,,9.0,,,5.0,221.0,0.4,,41.097042736731396,17533.594205311794
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2005-08-15,2005,8,15,1,3,0.5,3.5,,,,1.2,6.94,2.77,0.098,0.135,0.057,0.067,0.011,0.094,0.026,0.0079,46.0,8.0,5.0,5.0,2.13,24.0,,,,7.0,,,18.2,191.0,0.21999999999999997,,59.59865257334062,inf
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2005-10-12,2005,10,12,1,4,0.5,5.0,,,,1.9,6.86,2.86,0.103,0.133,0.056,0.069,0.011,0.095,0.027,0.0084,6.0,3.0,3.0,5.0,1.12,17.0,,,,8.8,,,10.4,295.0,0.28,,40.7842927200183,25784.69736075264
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2006-02-20,2006,2,20,1,1,0.5,3.6,,,,0.7,6.63,3.32,0.108,0.15,0.064,0.084,0.013,0.109,0.036,0.0089,63.0,52.0,3.0,9.0,1.99,37.0,,,,8.5,,,0.6,315.0,0.56,,41.99150778453085,6188.327366580635
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2006-05-21,2006,5,21,1,2,0.5,4.6,,,,0.8,6.56,2.66,0.081,0.131,0.054,0.067,0.011,0.094,0.025,0.0079,3.0,36.0,4.0,4.0,1.57,53.0,,,,9.3,,,10.5,417.0,0.62,,28.389320371669886,inf
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2006-08-12,2006,8,12,1,3,0.5,4.2,,,,2.9,7.07,2.8,0.098,0.131,0.056,0.067,0.011,0.095,0.029,0.0089,2.0,1.0,3.0,3.0,1.28,15.0,,,,9.0,,,20.7,203.0,0.3,,48.99009241528599,inf
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2006-10-24,2006,10,24,1,4,0.5,4.2,,,,3.7,6.52,2.82,0.093,0.135,0.056,0.066,0.011,0.094,0.028,0.0084,13.0,1.0,2.0,4.0,0.94,28.0,,,,8.0,,,,280.0,0.66,,36.83465595134285,21659.14578303222
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2007-03-06,2007,3,6,1,1,0.5,5.5,,,,0.7,6.51,3.15,0.096,0.144,0.06,0.076,0.013,0.104,0.039,0.0084,35.0,18.0,2.0,3.0,2.42,34.0,,,,6.5,,,0.6,291.0,0.8200000000000001,,53.910665923183856,56726.33419365581
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2007-04-25,2007,4,25,1,2,0.5,4.1,,,,0.9,6.61,2.86,0.088,0.135,0.056,0.071,0.011,0.094,0.03,0.0074,12.0,25.0,2.0,8.0,2.62,46.0,,,,8.5,,,8.8,173.0,0.8599999999999999,,70.32891418160803,7047.81727860572
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2007-08-18,2007,8,18,1,3,0.5,4.1,,,,5.7,6.79,2.86,0.09,0.131,0.054,0.069,0.011,0.095,0.026,0.0084,3.0,1.0,1.0,3.0,2.27,27.0,,,,6.0,,,17.8,169.0,0.43999999999999995,,57.96807471938601,21143.451835817163
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2007-10-12,2007,10,12,1,4,0.5,4.3,,,,1.1,6.73,2.95,0.1,0.136,0.055,0.071,0.011,0.099,0.031,0.0089,5.0,3.0,1.0,3.0,2.08,38.0,,,,6.6,,,8.4,155.0,0.43999999999999995,,68.24016760146736,22174.839730247273
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2008-02-19,2008,2,19,1,1,0.5,5.4,,,,0.4,6.47,3.31,0.085,0.134,0.06,0.078,0.013,0.106,0.045,0.0084,55.0,84.0,7.0,7.0,2.55,47.0,,,,8.2,,,1.0,608.0,0.68,,26.860239521021867,inf
