,SUBID,AROID,Sj�-id,Medeldjup,Maxdjup,Omsättningstid,wrt
79,318,622271-141586,621669-141629,12.0,51.0,2.49,0.4016064257028112
80,321,622310-135406,622349-135317,2.78,5.1,3.9,0.25641025641025644
81,323,622342-133602,622415-133582,8.01,,0.0059,169.49152542372883
82,345,622595-150321,622492-150312,1.43,4.3,1.6,0.625
83,368,622694-136899,622731-136920,5.21,11.8,0.639,1.5649452269170578
84,387,622780-144652,622803-144609,3.6,,2.56,0.390625
85,457,623236-146113,623175-146111,5.03,16.8,3.47,0.2881844380403458
86,462,623272-149706,623301-149571,2.34,7.0,1.56,0.641025641025641
87,477,623413-146236,623289-146219,2.12,3.0,0.0703,14.22475106685633
88,481,623482-144034,623401-144131,4.67,10.0,0.0691,14.471780028943561
89,488,623588-144181,623533-144115,7.37,24.0,3.04,0.32894736842105265
90,499,623677-142633,623654-142634,6.2,,0.538,1.858736059479554
91,502,623706-141471,623815-141620,4.71,25.0,0.238,4.201680672268908
92,503,623713-144118,623646-144111,4.12,10.7,1.85,0.5405405405405405
93,507,623728-142424,623695-142465,7.06,23.2,13.6,0.07352941176470588
94,518,623813-144104,623826-144109,6.39,16.7,5.17,0.19342359767891684
95,519,623815-149834,623826-149824,9.63,32.0,0.959,1.0427528675703859
96,522,623845-137929,623811-137924,3.63,10.6,2.13,0.4694835680751174
97,526,623859-148097,623684-148201,4.34,,0.00895,111.73184357541899
98,532,623893-149388,623890-149419,5.09,9.0,0.0199,50.25125628140703
99,538,623930-141797,623955-141956,6.21,,0.221,4.524886877828054
100,539,623941-149459,623931-149463,6.22,16.0,2.63,0.3802281368821293
101,546,624030-141650,624132-141615,3.58,,3.38,0.2958579881656805
102,548,624044-147417,623947-147424,2.39,5.3,0.0364,27.47252747252747
103,549,624047-149056,624008-149170,5.57,,0.00984,101.6260162601626
104,551,624070-135695,623935-135724,2.69,4.1,0.095,10.526315789473685
105,558,624158-147175,624065-147380,3.49,9.9,0.434,2.3041474654377883
106,559,624161-141310,624108-141421,6.19,,0.122,8.19672131147541
107,561,624168-148708,624018-148774,4.06,,0.0211,47.39336492890995
108,569,624219-134519,624216-134515,4.73,10.0,0.148,6.756756756756757
109,580,624297-140521,624511-140583,3.54,9.1,2.39,0.41841004184100417
110,581,624300-146730,624246-146737,4.65,,0.014,71.42857142857143
111,583,624311-144412,624171-144397,5.98,16.4,1.57,0.6369426751592356
112,585,624337-147321,624421-147234,3.96,12.5,3.73,0.2680965147453083
113,587,624357-136656,624343-136647,4.12,,0.0622,16.077170418006432
114,601,624525-136218,624829-136457,2.39,4.5,0.0294,34.013605442176875
115,604,624543-135580,624606-135677,2.49,5.9,2.52,0.3968253968253968
116,605,624544-144906,624560-144952,4.26,12.0,1.03,0.970873786407767
117,610,624567-143379,624482-143444,3.2,10.9,3.51,0.2849002849002849
118,612,624578-144776,624537-144802,3.93,11.0,1.73,0.5780346820809249
119,616,624636-146539,624610-146590,6.14,,0.00682,146.6275659824047
120,619,624639-147259,624528-147251,6.54,17.3,0.181,5.524861878453039
121,624,624670-133038,624669-133052,5.64,13.0,1.01,0.9900990099009901
122,627,624707-140666,624489-140700,3.86,,0.0259,38.61003861003861
123,628,624708-133308,624598-133125,11.4,23.6,0.809,1.2360939431396785
124,633,624753-134892,624778-134886,5.38,,0.159,6.289308176100628
125,637,624775-134725,624747-134672,3.25,8.0,0.142,7.042253521126761
126,642,624788-135081,624757-134951,2.26,4.0,0.159,6.289308176100628
127,644,624807-146721,624702-146757,6.67,22.3,6.82,0.14662756598240467
128,647,624823-138787,624815-138826,2.14,5.5,0.0139,71.94244604316548
129,648,624824-142167,624821-142167,7.45,20.5,0.0777,12.87001287001287
130,651,624856-136789,624928-136990,3.74,8.5,0.118,8.474576271186441
131,667,624974-135108,625027-135160,1.53,2.0,0.347,2.8818443804034586
132,668,624974-138132,624976-138228,2.71,8.2,0.0105,95.23809523809523
133,679,625080-135196,625036-135163,3.27,7.0,0.229,4.366812227074235
134,680,625082-148221,624926-148106,6.77,21.3,2.43,0.4115226337448559
135,683,625099-135338,625057-135282,3.22,,0.615,1.6260162601626016
136,688,625120-141156,625087-141142,3.0,5.6,0.0629,15.89825119236884
137,695,625203-135263,625087-135232,2.07,4.8,0.455,2.1978021978021975
138,700,625232-144087,625184-144083,14.7,39.0,7.03,0.14224751066856328
139,701,625247-149213,624987-149315,5.52,,0.00786,127.22646310432569
140,703,625266-146434,625213-146463,4.63,,0.0114,87.71929824561403
141,707,625302-135625,625371-135680,3.56,9.6,0.457,2.1881838074398248
142,720,625398-148422,625259-148449,6.66,14.4,0.919,1.088139281828074
143,738,625551-145610,625584-145661,1.48,2.7,0.225,4.444444444444445
144,745,625649-136380,625718-136411,5.85,,1.26,0.7936507936507936
145,747,625675-147100,625350-147154,3.46,15.0,0.587,1.7035775127768313
146,764,625804-145615,625613-145643,2.36,6.7,1.71,0.5847953216374269
147,770,625845-135616,625752-135351,3.54,7.8,0.284,3.5211267605633805
148,778,625889-134315,625909-134297,1.89,3.0,0.0633,15.797788309636653
149,783,625913-142014,625881-142003,3.71,,0.534,1.8726591760299625
150,785,625946-139716,625630-139597,3.55,,0.0669,14.947683109118087
151,786,625950-146813,625910-146948,2.38,5.2,1.14,0.8771929824561404
152,793,625993-142503,625984-142504,3.28,,0.0147,68.02721088435375
153,796,626031-148177,626063-148175,3.89,,0.0847,11.80637544273908
154,798,626060-148594,626136-148695,4.56,5.9,0.0354,28.248587570621467
155,809,626149-138629,626148-138684,4.08,10.5,1.48,0.6756756756756757
156,811,626156-147014,626177-147022,1.6,4.2,1.83,0.5464480874316939
157,819,626231-145927,626289-145811,3.46,8.0,0.0281,35.587188612099645
158,828,626311-142610,626258-142594,3.74,,0.109,9.174311926605505
159,838,626425-136023,626534-135855,8.49,,0.00688,145.34883720930233
160,839,626432-145320,626258-145514,4.45,10.5,3.11,0.3215434083601286
161,842,626457-142155,626407-142157,3.86,12.9,1.53,0.6535947712418301
162,846,626491-144788,626085-144795,4.7,8.5,0.53,1.8867924528301885
163,852,626537-143286,626473-143260,6.84,,0.0194,51.54639175257732
164,854,626562-142914,626594-143135,3.7,,0.523,1.9120458891013383
165,855,626566-137771,626341-137801,4.23,,0.0944,10.593220338983052
166,864,626707-146527,626240-146544,4.38,16.5,1.06,0.9433962264150942
167,867,626722-135261,626759-135211,6.31,,0.00185,540.5405405405405
168,868,626726-145942,626406-145882,6.25,3.2,0.076,13.157894736842106
169,875,626765-142288,626655-142348,1.48,4.7,0.295,3.3898305084745766
170,892,626909-148749,626424-148646,5.44,,0.043,23.255813953488374
171,893,626910-147043,626411-147094,3.24,9.0,0.717,1.394700139470014
172,904,627047-133992,626959-133901,4.21,,0.319,3.134796238244514
173,905,627048-147376,626842-147473,2.52,7.0,1.46,0.684931506849315
174,907,627054-138960,627058-138641,7.23,,0.0233,42.918454935622314
175,910,627072-148465,627100-148506,2.34,8.4,0.459,2.178649237472767
176,912,627078-144508,627285-144615,1.98,4.7,2.68,0.3731343283582089
177,917,627162-136476,627102-136478,3.68,,0.146,6.849315068493151
178,921,627186-145085,626980-144922,3.88,5.0,0.426,2.347417840375587
179,923,627219-133300,627228-133300,3.41,,0.583,1.7152658662092626
180,930,627291-142113,627275-142183,2.57,5.3,1.33,0.7518796992481203
181,939,627431-140347,627391-140256,4.8,,0.0742,13.477088948787062
182,949,627492-140968,627373-140736,2.63,2.8,0.0938,10.660980810234543
183,950,627497-137400,627468-137330,8.95,,0.00815,122.6993865030675
184,952,627505-138324,627451-138444,2.17,3.0,0.0811,12.330456226880393
185,955,627510-146105,627180-146143,2.18,3.1,0.141,7.092198581560284
186,957,627514-149169,627611-149126,6.48,,1.73,0.5780346820809249
187,959,627538-139443,627976-139651,4.1,,1.6,0.625
188,968,627593-148981,627576-148904,4.37,,0.203,4.926108374384236
189,977,627674-141943,627654-141929,2.72,7.0,1.38,0.7246376811594204
190,978,627690-147847,627559-147866,4.75,,0.00856,116.82242990654206
191,983,627770-144775,627748-144801,1.55,1.9,0.24,4.166666666666667
192,987,627823-138285,627691-138264,4.5,11.0,0.216,4.62962962962963
193,991,627831-150064,627773-150228,4.42,,0.125,8.0
194,992,627839-141024,627729-140872,1.39,0.9,0.076,13.157894736842106
195,995,627870-134286,627855-134250,1.7,5.3,0.605,1.6528925619834711
